"GEOID","NAME","variable","value"
"4200300724","Aleppo township, Allegheny County, Pennsylvania","P1_001N",1825
"4200303320","Aspinwall borough, Allegheny County, Pennsylvania","P1_001N",2916
"4200303928","Baldwin borough, Allegheny County, Pennsylvania","P1_001N",21510
"4200303932","Baldwin township, Allegheny County, Pennsylvania","P1_001N",1985
"4200305216","Bell Acres borough, Allegheny County, Pennsylvania","P1_001N",1505
"4200305312","Bellevue borough, Allegheny County, Pennsylvania","P1_001N",8311
"4200305504","Ben Avon borough, Allegheny County, Pennsylvania","P1_001N",1918
"4200305520","Ben Avon Heights borough, Allegheny County, Pennsylvania","P1_001N",400
"4200306064","Bethel Park municipality, Allegheny County, Pennsylvania","P1_001N",33577
"4200307000","Blawnox borough, Allegheny County, Pennsylvania","P1_001N",1454
"4200307976","Brackenridge borough, Allegheny County, Pennsylvania","P1_001N",3240
"4200307992","Braddock borough, Allegheny County, Pennsylvania","P1_001N",1721
"4200308008","Braddock Hills borough, Allegheny County, Pennsylvania","P1_001N",1730
"4200308064","Bradford Woods borough, Allegheny County, Pennsylvania","P1_001N",1183
"4200308416","Brentwood borough, Allegheny County, Pennsylvania","P1_001N",10082
"4200308624","Bridgeville borough, Allegheny County, Pennsylvania","P1_001N",4804
"4200311336","Carnegie borough, Allegheny County, Pennsylvania","P1_001N",8134
"4200311680","Castle Shannon borough, Allegheny County, Pennsylvania","P1_001N",8249
"4200312496","Chalfant borough, Allegheny County, Pennsylvania","P1_001N",748
"4200313392","Cheswick borough, Allegheny County, Pennsylvania","P1_001N",1672
"4200313608","Churchill borough, Allegheny County, Pennsylvania","P1_001N",3157
"4200315216","Collier township, Allegheny County, Pennsylvania","P1_001N",8935
"4200316144","Coraopolis borough, Allegheny County, Pennsylvania","P1_001N",5559
"4200316848","Crafton borough, Allegheny County, Pennsylvania","P1_001N",6099
"4200319576","Dormont borough, Allegheny County, Pennsylvania","P1_001N",8244
"4200319856","Dravosburg borough, Allegheny County, Pennsylvania","P1_001N",1612
"4200320432","Duquesne city, Allegheny County, Pennsylvania","P1_001N",5254
"4200321444","East McKeesport borough, Allegheny County, Pennsylvania","P1_001N",2076
"4200321712","East Pittsburgh borough, Allegheny County, Pennsylvania","P1_001N",1927
"4200322520","Edgewood borough, Allegheny County, Pennsylvania","P1_001N",3145
"4200322992","Elizabeth borough, Allegheny County, Pennsylvania","P1_001N",1398
"4200323000","Elizabeth township, Allegheny County, Pennsylvania","P1_001N",12982
"4200323616","Emsworth borough, Allegheny County, Pennsylvania","P1_001N",2525
"4200325400","Fawn township, Allegheny County, Pennsylvania","P1_001N",2210
"4200325904","Findlay township, Allegheny County, Pennsylvania","P1_001N",6372
"4200326592","Forest Hills borough, Allegheny County, Pennsylvania","P1_001N",6429
"4200327120","Fox Chapel borough, Allegheny County, Pennsylvania","P1_001N",5343
"4200327552","Franklin Park borough, Allegheny County, Pennsylvania","P1_001N",15479
"4200327608","Frazer township, Allegheny County, Pennsylvania","P1_001N",1161
"4200329592","Glenfield borough, Allegheny County, Pennsylvania","P1_001N",212
"4200329732","Glen Osborne borough, Allegheny County, Pennsylvania","P1_001N",590
"4200331256","Green Tree borough, Allegheny County, Pennsylvania","P1_001N",4941
"4200332624","Harmar township, Allegheny County, Pennsylvania","P1_001N",3133
"4200332832","Harrison township, Allegheny County, Pennsylvania","P1_001N",10157
"4200333312","Haysville borough, Allegheny County, Pennsylvania","P1_001N",81
"4200335424","Homestead borough, Allegheny County, Pennsylvania","P1_001N",2884
"4200336808","Indiana township, Allegheny County, Pennsylvania","P1_001N",7254
"4200337000","Ingram borough, Allegheny County, Pennsylvania","P1_001N",3391
"4200339312","Kennedy township, Allegheny County, Pennsylvania","P1_001N",8701
"4200339624","Kilbuck township, Allegheny County, Pennsylvania","P1_001N",773
"4200342368","Leet township, Allegheny County, Pennsylvania","P1_001N",1624
"4200343064","Liberty borough, Allegheny County, Pennsylvania","P1_001N",2355
"4200343408","Lincoln borough, Allegheny County, Pennsylvania","P1_001N",932
"4200345900","McCandless township, Allegheny County, Pennsylvania","P1_001N",29698
